url,full_title,title,numeric_title,effect,category,is_harmful
https://calorizator.ru/addon/e3xx/e320,E320 Бутилгидроксианизол,бутилгидроксианизол,E320,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e321,E321 Бутилгидрокситолуол,бутилгидрокситолуол,E321,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e322,E322 Лецитин,лецитин,E322,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e323,E323 Аноксомер,аноксомер,E323,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e324,E324 Этоксихин,этоксихин,E324,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e325,E325 Лактат натрия,лактат натрия,E325,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e326,E326 Лактат калия,лактат калия,E326,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e327,E327 Лактат кальция,лактат кальция,E327,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e328,E328 Лактат аммония,лактат аммония,E328,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e329,E329 Лактат магния,лактат магния,E329,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e330,E330 Лимонная кислота,лимонная кислота,E330,Считаются безвредными,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e331,E331 Цитраты натрия,цитраты натрия,E331,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e332,E332 Цитраты калия,цитраты калия,E332,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e333,E333 Цитраты кальция,цитраты кальция,E333,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e334,E334 Винная кислота,винная кислота,E334,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e335,E335 Тартраты натрия,тартраты натрия,E335,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e336,E336 Тартраты калия,тартраты калия,E336,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e337,E337 Тартрат калия-натрия,тартрат калия-натрия,E337,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e338,E338 Ортофосфорная кислота,ортофосфорная кислота,E338,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e339,E339 Ортофосфаты натрия,ортофосфаты натрия,E339,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e340,E340 Ортофосфаты калия,ортофосфаты калия,E340,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e341,E341 Ортофосфаты кальция,ортофосфаты кальция,E341,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e342,E342 Ортофосфаты аммония,ортофосфаты аммония,E342,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e343,E343 Ортофосфаты магния,ортофосфаты магния,E343,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e344,E344 Цитрат лецитина,цитрат лецитина,E344,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e345,E345 Цитрат магния,цитрат магния,E345,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e349,E349 Малат аммония,малат аммония,E349,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e350,E350 Малаты натрия,малаты натрия,E350,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e351,E351 Малаты калия,малаты калия,E351,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e352,E352 Малаты кальция,малаты кальция,E352,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e353,E353 Мета-винная кислота,мета-винная кислота,E353,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e354,E354 Тартрат кальция,тартрат кальция,E354,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e355,E355 Адипиновая кислота,адипиновая кислота,E355,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e356,E356 Адипат натрия,адипат натрия,E356,Нет данных,E3xx Антиокислители (антиоксиданты),0
